| time | in  | out |
| 0+   |  0  |  0  |
| 1    |  0  |  0  |
| 1+   |  0  |  0  |
| 2    |  0  |  0  |
| 2+   |  1  |  0  |
| 3    |  1  |  1  |
| 3+   |  1  |  1  |
| 4    |  1  |  1  |
| 4+   |  0  |  1  |
| 5    |  0  |  0  |
| 5+   |  1  |  0  |
| 6    |  1  |  1  |
| 6+   |  0  |  1  |
| 7    |  0  |  0  |
| 7+   |  1  |  0  |
| 8    |  1  |  1  |
| 8+   |  0  |  1  |
| 9    |  0  |  0  |
| 9+   |  0  |  0  |
| 10   |  0  |  0  |
| 10+  |  0  |  0  |
| 11   |  0  |  0  |
| 11+  |  0  |  0  |
| 12   |  0  |  0  |
| 12+  |  0  |  0  |
| 13   |  0  |  0  |
| 13+  |  0  |  0  |
| 14   |  0  |  0  |
| 14+  |  0  |  0  |
| 15   |  0  |  0  |
| 15+  |  0  |  0  |
| 16   |  0  |  0  |
| 16+  |  0  |  0  |
| 17   |  0  |  0  |
| 17+  |  0  |  0  |
| 18   |  0  |  0  |
| 18+  |  0  |  0  |
| 19   |  0  |  0  |
| 19+  |  0  |  0  |
| 20   |  0  |  0  |
| 20+  |  0  |  0  |
| 21   |  0  |  0  |
| 21+  |  0  |  0  |
| 22   |  0  |  0  |
| 22+  |  0  |  0  |
| 23   |  0  |  0  |
| 23+  |  0  |  0  |
| 24   |  0  |  0  |
| 24+  |  0  |  0  |
| 25   |  0  |  0  |
| 25+  |  0  |  0  |
| 26   |  0  |  0  |
| 26+  |  0  |  0  |
| 27   |  0  |  0  |
| 27+  |  0  |  0  |
| 28   |  0  |  0  |
| 28+  |  0  |  0  |
| 29   |  0  |  0  |
| 29+  |  0  |  0  |
| 30   |  0  |  0  |
| 30+  |  0  |  0  |
| 31   |  0  |  0  |
| 31+  |  0  |  0  |
| 32   |  0  |  0  |
| 32+  |  0  |  0  |
| 33   |  0  |  0  |
| 33+  |  0  |  0  |
| 34   |  0  |  0  |
| 34+  |  0  |  0  |
| 35   |  0  |  0  |
| 35+  |  0  |  0  |
| 36   |  0  |  0  |
| 36+  |  0  |  0  |
| 37   |  0  |  0  |
| 37+  |  0  |  0  |
| 38   |  0  |  0  |
| 38+  |  0  |  0  |
| 39   |  0  |  0  |
| 39+  |  0  |  0  |
| 40   |  0  |  0  |
| 40+  |  0  |  0  |
| 41   |  0  |  0  |
| 41+  |  0  |  0  |
| 42   |  0  |  0  |
| 42+  |  0  |  0  |
| 43   |  0  |  0  |
| 43+  |  0  |  0  |
| 44   |  0  |  0  |
| 44+  |  0  |  0  |
| 45   |  0  |  0  |
| 45+  |  0  |  0  |
| 46   |  0  |  0  |
| 46+  |  0  |  0  |
| 47   |  0  |  0  |
| 47+  |  0  |  0  |
| 48   |  0  |  0  |
| 48+  |  0  |  0  |
| 49   |  0  |  0  |
| 49+  |  0  |  0  |
| 50   |  0  |  0  |
| 50+  |  0  |  0  |
| 51   |  0  |  0  |
| 51+  |  0  |  0  |
| 52   |  0  |  0  |
| 52+  |  0  |  0  |
| 53   |  0  |  0  |
| 53+  |  0  |  0  |
| 54   |  0  |  0  |
| 54+  |  0  |  0  |
| 55   |  0  |  0  |
| 55+  |  0  |  0  |
| 56   |  0  |  0  |
| 56+  |  0  |  0  |
| 57   |  0  |  0  |
| 57+  |  0  |  0  |
| 58   |  0  |  0  |
| 58+  |  1  |  0  |
| 59   |  1  |  1  |
| 59+  |  1  |  1  |
| 60   |  1  |  1  |
| 60+  |  1  |  1  |
| 61   |  1  |  1  |
| 61+  |  1  |  1  |
| 62   |  1  |  1  |
| 62+  |  1  |  1  |
| 63   |  1  |  1  |
| 63+  |  1  |  1  |
| 64   |  1  |  1  |
| 64+  |  1  |  1  |
| 65   |  1  |  1  |
| 65+  |  1  |  1  |
| 66   |  1  |  1  |
| 66+  |  1  |  1  |
| 67   |  1  |  1  |
| 67+  |  1  |  1  |
| 68   |  1  |  1  |
| 68+  |  1  |  1  |
| 69   |  1  |  1  |
| 69+  |  1  |  1  |
| 70   |  1  |  1  |
| 70+  |  1  |  1  |
| 71   |  1  |  1  |
| 71+  |  1  |  1  |
| 72   |  1  |  1  |
| 72+  |  1  |  1  |
| 73   |  1  |  1  |
| 73+  |  1  |  1  |
| 74   |  1  |  1  |
| 74+  |  1  |  1  |
| 75   |  1  |  1  |
| 75+  |  1  |  1  |
| 76   |  1  |  1  |
| 76+  |  1  |  1  |
| 77   |  1  |  1  |
| 77+  |  1  |  1  |
| 78   |  1  |  1  |
| 78+  |  1  |  1  |
| 79   |  1  |  1  |
| 79+  |  1  |  1  |
| 80   |  1  |  1  |
| 80+  |  1  |  1  |
| 81   |  1  |  1  |
| 81+  |  1  |  1  |
| 82   |  1  |  1  |
| 82+  |  1  |  1  |
| 83   |  1  |  1  |
| 83+  |  1  |  1  |
| 84   |  1  |  1  |
| 84+  |  1  |  1  |
| 85   |  1  |  1  |
| 85+  |  1  |  1  |
| 86   |  1  |  1  |
| 86+  |  1  |  1  |
| 87   |  1  |  1  |
| 87+  |  1  |  1  |
| 88   |  1  |  1  |
| 88+  |  1  |  1  |
| 89   |  1  |  1  |
| 89+  |  1  |  1  |
| 90   |  1  |  1  |
| 90+  |  1  |  1  |
| 91   |  1  |  1  |
| 91+  |  1  |  1  |
| 92   |  1  |  1  |
| 92+  |  1  |  1  |
| 93   |  1  |  1  |
| 93+  |  1  |  1  |
| 94   |  1  |  1  |
| 94+  |  1  |  1  |
| 95   |  1  |  1  |
| 95+  |  1  |  1  |
| 96   |  1  |  1  |
| 96+  |  1  |  1  |
| 97   |  1  |  1  |
| 97+  |  1  |  1  |
| 98   |  1  |  1  |
| 98+  |  1  |  1  |
| 99   |  1  |  1  |
| 99+  |  1  |  1  |
| 100  |  1  |  1  |
| 100+ |  1  |  1  |
| 101  |  1  |  1  |
| 101+ |  1  |  1  |
| 102  |  1  |  1  |
| 102+ |  1  |  1  |
| 103  |  1  |  1  |
| 103+ |  1  |  1  |
| 104  |  1  |  1  |
| 104+ |  1  |  1  |
| 105  |  1  |  1  |
| 105+ |  1  |  1  |
| 106  |  1  |  1  |
| 106+ |  1  |  1  |
| 107  |  1  |  1  |
